Topology,Algorithm,Locality,Load,Repeat,PowerSavings
fattree,Formal,near,0.1,0,100.0
fattree,Greedy,near,0.1,0,55.00000000000001
fattree,ElasticTree,near,0.1,0,95.0
fattree,Formal,near,0.1,1,100.0
fattree,Greedy,near,0.1,1,75.0
fattree,ElasticTree,near,0.1,1,95.0
fattree,Formal,near,0.1,2,100.0
fattree,Greedy,near,0.1,2,55.00000000000001
fattree,ElasticTree,near,0.1,2,95.0
fattree,Formal,near,0.1,3,100.0
fattree,Greedy,near,0.1,3,75.0
fattree,ElasticTree,near,0.1,3,95.0
fattree,Formal,near,0.1,4,100.0
fattree,Greedy,near,0.1,4,55.00000000000001
fattree,ElasticTree,near,0.1,4,95.0
fattree,Formal,mid,0.1,0,100.0
fattree,Greedy,mid,0.1,0,75.0
fattree,ElasticTree,mid,0.1,0,95.0
fattree,Formal,mid,0.1,1,100.0
fattree,Greedy,mid,0.1,1,55.00000000000001
fattree,ElasticTree,mid,0.1,1,95.0
fattree,Formal,mid,0.1,2,100.0
fattree,Greedy,mid,0.1,2,55.00000000000001
fattree,ElasticTree,mid,0.1,2,95.0
fattree,Formal,mid,0.1,3,100.0
fattree,Greedy,mid,0.1,3,55.00000000000001
fattree,ElasticTree,mid,0.1,3,95.0
fattree,Formal,mid,0.1,4,100.0
fattree,Greedy,mid,0.1,4,55.00000000000001
fattree,ElasticTree,mid,0.1,4,95.0
fattree,Formal,far,0.1,0,100.0
fattree,Greedy,far,0.1,0,75.0
fattree,ElasticTree,far,0.1,0,95.0
fattree,Formal,far,0.1,1,100.0
fattree,Greedy,far,0.1,1,75.0
fattree,ElasticTree,far,0.1,1,95.0
fattree,Formal,far,0.1,2,100.0
fattree,Greedy,far,0.1,2,55.00000000000001
fattree,ElasticTree,far,0.1,2,95.0
fattree,Formal,far,0.1,3,100.0
fattree,Greedy,far,0.1,3,75.0
fattree,ElasticTree,far,0.1,3,95.0
fattree,Formal,far,0.1,4,100.0
fattree,Greedy,far,0.1,4,55.00000000000001
fattree,ElasticTree,far,0.1,4,95.0
fattree,Formal,near,0.3,0,90.0
fattree,Greedy,near,0.3,0,55.00000000000001
fattree,ElasticTree,near,0.3,0,75.0
fattree,Formal,near,0.3,1,90.0
fattree,Greedy,near,0.3,1,55.00000000000001
fattree,ElasticTree,near,0.3,1,75.0
fattree,Formal,near,0.3,2,100.0
fattree,Greedy,near,0.3,2,55.00000000000001
fattree,ElasticTree,near,0.3,2,75.0
fattree,Formal,near,0.3,3,100.0
fattree,Greedy,near,0.3,3,75.0
fattree,ElasticTree,near,0.3,3,75.0
fattree,Formal,near,0.3,4,100.0
fattree,Greedy,near,0.3,4,75.0
fattree,ElasticTree,near,0.3,4,75.0
fattree,Formal,mid,0.3,0,75.0
fattree,Greedy,mid,0.3,0,75.0
fattree,ElasticTree,mid,0.3,0,75.0
fattree,Formal,mid,0.3,1,85.0
fattree,Greedy,mid,0.3,1,75.0
fattree,ElasticTree,mid,0.3,1,75.0
fattree,Formal,mid,0.3,2,90.0
fattree,Greedy,mid,0.3,2,75.0
fattree,ElasticTree,mid,0.3,2,75.0
fattree,Formal,mid,0.3,3,85.0
fattree,Greedy,mid,0.3,3,75.0
fattree,ElasticTree,mid,0.3,3,75.0
fattree,Formal,mid,0.3,4,90.0
fattree,Greedy,mid,0.3,4,55.00000000000001
fattree,ElasticTree,mid,0.3,4,75.0
fattree,Formal,far,0.3,0,65.0
fattree,Greedy,far,0.3,0,55.00000000000001
fattree,ElasticTree,far,0.3,0,75.0
fattree,Formal,far,0.3,1,65.0
fattree,Greedy,far,0.3,1,75.0
fattree,ElasticTree,far,0.3,1,75.0
fattree,Formal,far,0.3,2,65.0
fattree,Greedy,far,0.3,2,75.0
fattree,ElasticTree,far,0.3,2,75.0
fattree,Formal,far,0.3,3,70.0
fattree,Greedy,far,0.3,3,75.0
fattree,ElasticTree,far,0.3,3,75.0
fattree,Formal,far,0.3,4,60.0
fattree,Greedy,far,0.3,4,75.0
fattree,ElasticTree,far,0.3,4,75.0
fattree,Formal,near,0.5,0,90.0
fattree,Greedy,near,0.5,0,55.00000000000001
fattree,ElasticTree,near,0.5,0,55.00000000000001
fattree,Formal,near,0.5,1,90.0
fattree,Greedy,near,0.5,1,55.00000000000001
fattree,ElasticTree,near,0.5,1,55.00000000000001
fattree,Formal,near,0.5,2,80.0
fattree,Greedy,near,0.5,2,55.00000000000001
fattree,ElasticTree,near,0.5,2,55.00000000000001
fattree,Formal,near,0.5,3,90.0
fattree,Greedy,near,0.5,3,75.0
fattree,ElasticTree,near,0.5,3,55.00000000000001
fattree,Formal,near,0.5,4,75.0
fattree,Greedy,near,0.5,4,75.0
fattree,ElasticTree,near,0.5,4,55.00000000000001
fattree,Formal,mid,0.5,0,70.0
fattree,Greedy,mid,0.5,0,75.0
fattree,ElasticTree,mid,0.5,0,55.00000000000001
fattree,Formal,mid,0.5,1,60.0
fattree,Greedy,mid,0.5,1,75.0
fattree,ElasticTree,mid,0.5,1,55.00000000000001
fattree,Formal,mid,0.5,2,60.0
fattree,Greedy,mid,0.5,2,55.00000000000001
fattree,ElasticTree,mid,0.5,2,50.0
fattree,Formal,mid,0.5,3,60.0
fattree,Greedy,mid,0.5,3,55.00000000000001
fattree,ElasticTree,mid,0.5,3,55.00000000000001
fattree,Formal,mid,0.5,4,70.0
fattree,Greedy,mid,0.5,4,55.00000000000001
fattree,ElasticTree,mid,0.5,4,50.0
fattree,Formal,far,0.5,0,40.0
fattree,Greedy,far,0.5,0,55.00000000000001
fattree,ElasticTree,far,0.5,0,40.0
fattree,Formal,far,0.5,1,40.0
fattree,Greedy,far,0.5,1,55.00000000000001
fattree,ElasticTree,far,0.5,1,40.0
fattree,Formal,far,0.5,2,45.0
fattree,Greedy,far,0.5,2,55.00000000000001
fattree,ElasticTree,far,0.5,2,40.0
fattree,Formal,far,0.5,3,45.0
fattree,Greedy,far,0.5,3,75.0
fattree,ElasticTree,far,0.5,3,40.0
fattree,Formal,far,0.5,4,45.0
fattree,Greedy,far,0.5,4,75.0
fattree,ElasticTree,far,0.5,4,40.0
fattree,Formal,near,0.7,0,65.0
fattree,Greedy,near,0.7,0,55.00000000000001
fattree,ElasticTree,near,0.7,0,35.0
fattree,Formal,near,0.7,1,65.0
fattree,Greedy,near,0.7,1,75.0
fattree,ElasticTree,near,0.7,1,35.0
fattree,Formal,near,0.7,2,60.0
fattree,Greedy,near,0.7,2,55.00000000000001
fattree,ElasticTree,near,0.7,2,35.0
fattree,Formal,near,0.7,3,60.0
fattree,Greedy,near,0.7,3,55.00000000000001
fattree,ElasticTree,near,0.7,3,35.0
fattree,Formal,near,0.7,4,65.0
fattree,Greedy,near,0.7,4,75.0
fattree,ElasticTree,near,0.7,4,35.0
fattree,Formal,mid,0.7,0,40.0
fattree,Greedy,mid,0.7,0,55.00000000000001
fattree,ElasticTree,mid,0.7,0,25.0
fattree,Formal,mid,0.7,1,45.0
fattree,Greedy,mid,0.7,1,55.00000000000001
fattree,ElasticTree,mid,0.7,1,25.0
fattree,Formal,mid,0.7,2,45.0
fattree,Greedy,mid,0.7,2,55.00000000000001
fattree,ElasticTree,mid,0.7,2,25.0
fattree,Formal,mid,0.7,3,40.0
fattree,Greedy,mid,0.7,3,55.00000000000001
fattree,ElasticTree,mid,0.7,3,20.0
fattree,Formal,mid,0.7,4,40.0
fattree,Greedy,mid,0.7,4,75.0
fattree,ElasticTree,mid,0.7,4,25.0
fattree,Formal,far,0.7,0,40.0
fattree,Greedy,far,0.7,0,55.00000000000001
fattree,ElasticTree,far,0.7,0,20.0
fattree,Formal,far,0.7,1,35.0
fattree,Greedy,far,0.7,1,55.00000000000001
fattree,ElasticTree,far,0.7,1,20.0
fattree,Formal,far,0.7,2,35.0
fattree,Greedy,far,0.7,2,55.00000000000001
fattree,ElasticTree,far,0.7,2,20.0
fattree,Formal,far,0.7,3,40.0
fattree,Greedy,far,0.7,3,75.0
fattree,ElasticTree,far,0.7,3,20.0
fattree,Formal,far,0.7,4,40.0
fattree,Greedy,far,0.7,4,75.0
fattree,ElasticTree,far,0.7,4,20.0
fattree,Formal,near,1.0,0,40.0
fattree,Greedy,near,1.0,0,55.00000000000001
fattree,ElasticTree,near,1.0,0,15.0
fattree,Formal,near,1.0,1,40.0
fattree,Greedy,near,1.0,1,75.0
fattree,ElasticTree,near,1.0,1,15.0
fattree,Formal,near,1.0,2,40.0
fattree,Greedy,near,1.0,2,55.00000000000001
fattree,ElasticTree,near,1.0,2,15.0
fattree,Formal,near,1.0,3,40.0
fattree,Greedy,near,1.0,3,75.0
fattree,ElasticTree,near,1.0,3,15.0
fattree,Formal,near,1.0,4,40.0
fattree,Greedy,near,1.0,4,55.00000000000001
fattree,ElasticTree,near,1.0,4,15.0
fattree,Formal,mid,1.0,0,40.0
fattree,Greedy,mid,1.0,0,55.00000000000001
fattree,ElasticTree,mid,1.0,0,0.0
fattree,Formal,mid,1.0,1,40.0
fattree,Greedy,mid,1.0,1,55.00000000000001
fattree,ElasticTree,mid,1.0,1,0.0
fattree,Formal,mid,1.0,2,40.0
fattree,Greedy,mid,1.0,2,55.00000000000001
fattree,ElasticTree,mid,1.0,2,0.0
fattree,Formal,mid,1.0,3,40.0
fattree,Greedy,mid,1.0,3,55.00000000000001
fattree,ElasticTree,mid,1.0,3,0.0
fattree,Formal,mid,1.0,4,40.0
fattree,Greedy,mid,1.0,4,75.0
fattree,ElasticTree,mid,1.0,4,0.0
